objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"13 Dead End Drive","1899","5","","0","1","0","0","0","0","0","0","0","3","","","","","","73956236","5.73081","6.04444","1.384","4830","4933","thing","13 Dead End Drive","2","4","45","45","45","1993","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","20","USD","2019-12-25","Casey's Parents","","","","","","","",""
"5 Second Rule","86073","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73956265","5.43363","5.48243","1.1094","23077","4660","thing","5 Second Rule","3","6","30","30","30","2010","3,4,5,6","4,5,6","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","1","USD","15","USD","","","","","","","","","",""
"7 Wonders","68448","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","73936505","7.60834","7.71224","2.3227","83","128662","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","50","USD","50","USD","","","","","","","","","",""
"7 Wonders Duel","173346","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","73936506","7.97636","8.09969","2.2238","19","127479","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel: Agora","309116","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","87960847","7.04623","8.12605","2.9194","0","12247","thing","7 Wonders Duel: Agora","2","2","30","30","30","2020","2","2","12+","No necessary in-game text","","","","","","expansion","","12.5","USD","25","USD","2021-11-26","The Adventure Begins","1","","","","","","",""
"7 Wonders Duel: Pantheon","202976","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73936511","7.62966","8.01288","2.315","0","36662","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Architects","346703","7.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","87577662","6.645","7.05463","1.3467","882","7882","thing","7 Wonders: Architects","2","7","25","25","25","2021","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","40","USD","60","USD","2021-11-13","Space Cadets","1","","","","","","",""
"7 Wonders: Armada","247315","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73936515","6.83462","8.01377","2.7907","0","8372","thing","7 Wonders: Armada","3","7","40","40","40","2018","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Babel","154638","5","","0","1","0","0","0","0","0","0","0","3","","","","","","73936513","6.45346","6.92537","2.6457","0","14077","thing","7 Wonders: Babel","2","7","45","45","45","2014","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Age of Civilization","264647","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","88730610","6.25111","7.09355","2.2857","1716","4300","thing","Age of Civilization","1","4","60","60","30","2019","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","13","USD","30","USD","","Amazon","1","","","","","","",""
"Arkham Horror: The Card Game","205637","9","26","0","1","0","0","0","0","0","0","0","3","","","","","","87959374","7.91932","8.14865","3.5111","27","66811","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","30","USD","60","USD","2021-11-26","The Adventure Begins","","","","","","","",""
"Arkham Horror: The Card Game – Edge of the Earth: Campaign Expansion","340035","8","","0","1","0","0","0","0","0","0","0","3","","","","","","100181971","6.03425","8.68644","3.3333","0","4211","thing","Arkham Horror: The Card Game – Edge of the Earth: Campaign Expansion","1","4","120","120","60","2021","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Edge of the Earth: Investigator Expansion","340036","8","","0","1","0","0","0","0","0","0","0","3","","","","","","100181981","5.92989","8.60822","3","0","4000","thing","Arkham Horror: The Card Game – Edge of the Earth: Investigator Expansion","1","2","120","120","60","2021","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Ascension: Deckbuilding Game","69789","0","","0","1","0","0","0","0","0","0","0","3","","I have the digital edition, but haven't played it yet","","","","73957256","6.7821","7.0358","2.1435","657","13901","thing","Ascension: Deckbuilding Game","1","4","30","30","30","2010","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Astra","369270","7.5","1","0","1","0","0","0","0","0","0","0","3","","The gameplay is really fun, but the markers could have been replaced with cubes and it would have been easier to play. The markers seemed more gimmicky than necessary.","","","","100182006","5.67378","7.11715","2.0714","5736","631","thing","Astra","2","5","90","90","40","2022","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Awkward Storyteller","268588","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","89322549","0","5.35","0","0","139","thing","The Awkward Storyteller","4","11","0","0","0","2017","","","","","","","","","","standalone","","","","","","","Joey Khan","1","","","","","","",""
"Balderdash","163","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73936532","6.18292","6.46311","1.4132","1933","10438","thing","Balderdash","2","6","60","60","60","1984","4,5,6","5,6","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Bananagrams","27225","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73936545","6.18919","6.37419","1.3125","1916","20726","thing","Bananagrams","1","8","15","15","15","2006","2,3,4,5,6","3,4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BANG!","3955","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73956635","6.34717","6.5001","1.6349","1443","36727","thing","BANG!","4","7","40","40","20","2002","5,6,7","7","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Barrage","251247","7.5","4","0","1","0","0","0","0","0","0","0","3","","I like the strategy, but it feels like it's easy to fall behind and be perpetually 1 step behind the other players the rest of the game.","","","","77325986","7.83227","8.20867","4.0728","34","16527","thing","Barrage","1","4","120","120","60","2019","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","2020-12-18","","1","","","","","","",""
"Basket Case","31967","5","","0","1","0","0","0","0","0","0","0","3","","","","","","73956295","0","4.6","0","0","34","thing","Basket Case","1","2","10","10","10","2003","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","8.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","73937223","6.8348","7.04406","2.3867","595","70591","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Bible Challenge","8448","6","","0","1","0","0","0","0","0","0","0","3","","","","","","73956259","5.48647","5.08214","1.8","21221","166","thing","Bible Challenge","2","16","90","90","90","1984","2,3,4","4","","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Brass: Birmingham","224517","10","2","0","1","0","0","0","0","0","0","0","3","","","","","","88730596","8.43218","8.65439","3.909","2","47126","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","Christmas","1","","","","","","",""
"Brass: Lancashire","28720","10","1","0","1","0","0","0","0","0","0","0","3","","","","","","73936461","7.96553","8.18694","3.8605","20","29409","thing","Brass: Lancashire","2","4","120","120","60","2007","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Brew Crafters","139898","8","5","0","1","0","0","0","0","0","0","0","3","","","","","","73936084","6.68441","7.42449","3.5743","810","4696","thing","Brew Crafters","2","5","90","90","90","2013","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"BUS","164159","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73956354","5.68543","6.23318","1.36","5518","2307","thing","BUS","2","3","20","20","20","2015","2,3","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne","822","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","73936295","7.30272","7.41364","1.9019","199","172680","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cards Against Profanity","218331","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73956261","0","5.75","0","0","16","thing","Cards Against Profanity","4","20","90","90","30","2016","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Burgundy","84876","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","73936312","8.0063","8.12771","2.9937","17","71420","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Castles of Mad King Ludwig","155426","0","","0","1","0","0","0","0","0","0","0","3","","I have the digital edition","","","","73957271","7.35611","7.52854","2.6564","168","30483","thing","Castles of Mad King Ludwig","1","4","90","90","90","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"CATAN","13","5","","0","1","0","0","0","0","0","0","0","3","","","","","","73936481","6.94668","7.11675","2.3058","473","181324","thing","CATAN","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Catch Phrase","192092","6","","0","1","0","0","0","0","0","0","0","3","","","","","","73956204","0","5.49038","0","0","121","thing","Catch Phrase","2","0","20","0","20","2015","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"City of Iron: Second Edition","195503","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","73936611","6.17079","7.24718","3.1333","0","2466","thing","City of Iron: Second Edition","2","4","120","120","120","2016","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames","178900","9","","0","1","0","0","0","0","0","0","0","3","","","","","","73936540","7.48205","7.57334","1.2731","116","131623","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Concept","147151","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73956269","6.63657","6.78777","1.3875","899","28906","thing","Concept","4","12","40","40","40","2013","3,4,5,6,7,8,9,10,11,12","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Concordia","124361","9","5","0","1","0","0","0","0","0","0","0","3","","","","","","76679800","7.96304","8.11506","3.0064","21","40738","thing","Concordia","2","5","100","100","100","2013","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","32.5","USD","65","USD","2020-11-27","The Adventure Begins","1","","","","","","",""
"The Constitution Quest Game","94769","6","","0","1","0","0","0","0","0","0","0","3","","","","","","73936379","0","6.88889","0","0","59","thing","The Constitution Quest Game","2","4","60","60","60","2011","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Contender: The Game of Presidential Debate","190073","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","73956288","5.52171","6.13628","1.1667","15158","321","thing","The Contender: The Game of Presidential Debate","3","99","30","30","15","2015","3,4,5,6,7,8,9","4,6","16+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Coup","131357","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","73938321","6.85808","6.9905","1.415","576","70550","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cryptid","246784","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","73936331","7.18214","7.48494","2.2634","273","15586","thing","Cryptid","3","5","50","50","30","2018","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Curios","275973","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","73936392","5.72048","6.5639","1.2727","4971","896","thing","Curios","2","5","20","20","15","2019","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","73936233","7.35454","7.5064","3.012","170","59773","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Deus","162082","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","73938084","6.96181","7.2905","2.841","458","9625","thing","Deus","2","4","90","90","60","2014","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dog Park","331401","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","100181996","5.91859","7.58926","2.0625","3144","1943","thing","Dog Park","1","4","80","80","40","2022","1,2,3,4","3,4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion","36218","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","73936219","7.48905","7.6037","2.3526","114","112153","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion: Hinterlands","104557","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73936225","7.34353","7.94668","2.5519","0","15775","thing","Dominion: Hinterlands","2","4","30","30","30","2011","2,3,4","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Intrigue","40834","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73936223","7.53695","7.69914","2.4184","95","46765","thing","Dominion: Intrigue","2","6","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominoes","2394","6","","0","1","0","0","0","0","0","0","0","3","","","","","","73956232","5.46795","5.51145","1.3689","22391","13364","thing","Dominoes","2","10","30","30","30","1500","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Don't Get Got!","262547","6","","0","1","0","0","0","0","0","0","0","3","","","","","","77522590","6.08983","7.08002","1.0476","2270","3241","thing","Don't Get Got!","2","10","1440","1440","30","2018","4,5,6,7,8,9,10","7","10+","Unplayable in another language","","","","","","standalone","","","","","","2020-12-24","","1","","","","","","",""
"Elysium","163968","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","76679803","6.91658","7.20768","2.7597","509","13117","thing","Elysium","2","4","60","60","60","2015","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","30","USD","60","USD","2020-11-27","The Adventure Begins","1","","","","","","",""
"Epoch: Early Inventors","172325","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","87960827","5.54376","6.39499","3.4286","11588","278","thing","Epoch: Early Inventors","1","4","150","150","90","2018","1,2,3,4","1","12–14","No necessary in-game text","","","","","","standalone","","30","USD","60","USD","2021-11-26","The Adventure Begins","1","","","","","","",""
"Everdell","199792","8","8","0","1","0","0","0","0","0","0","0","3","","","","","","73936440","7.87668","8.07302","2.8033","31","59183","thing","Everdell","1","4","80","80","40","2018","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Everdell: Bellfaire","289057","7","","0","1","0","0","0","0","0","0","0","3","","","","","","77986474","6.99758","8.08434","2.7568","0","12400","thing","Everdell: Bellfaire","1","6","120","120","40","2019","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","2020-12-31","Gift From The Wegner's","1","","","","","","",""
"Everdell: Mistwood","332397","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100179423","5.68139","8.28412","2.3333","0","2500","thing","Everdell: Mistwood","1","4","100","100","40","2022","1,2","1","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Everdell: Newleaf","332390","7","","0","1","0","0","0","0","0","0","0","3","","","","","","100179382","5.80696","8.62668","2.75","0","2560","thing","Everdell: Newleaf","1","4","100","100","40","2022","2,3,4","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Everdell: Pearlbrook","259996","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73936455","6.83073","7.65738","2.8","0","12383","thing","Everdell: Pearlbrook","1","4","80","80","40","2019","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Everdell: Spirecrest","289056","9","","0","1","0","0","0","0","0","0","0","3","","","","","","76679805","7.08169","8.33854","2.9839","0","9785","thing","Everdell: Spirecrest","1","4","100","100","40","2020","1,2,3,4","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","30","USD","50","USD","2020-11-27","Space Cadets","1","","","","","","",""
"Ex Libris","201825","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","77325989","6.74651","7.16181","2.5547","713","9636","thing","Ex Libris","1","4","45","45","45","2017","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","45","USD","60","USD","2020-12-18","","1","","","","","","",""
"Exploding Kittens","172225","6","","0","1","0","0","0","0","0","0","0","3","","","","","","73936425","5.8605","6.04621","1.0932","3526","59329","thing","Exploding Kittens","2","5","15","15","15","2015","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Feast & Famine","82223","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","73937072","5.51411","5.93154","2.3333","16696","141","thing","Feast & Famine","2","4","45","45","45","2010","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Desert","136063","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73936885","6.96864","7.10335","2.0425","454","49593","thing","Forbidden Desert","2","5","45","45","45","2013","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Island","65244","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73936880","6.67681","6.77559","1.7367","820","82965","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Sky","245271","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73936892","6.07599","6.46471","2.6122","2334","9317","thing","Forbidden Sky","2","5","60","60","60","2018","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Gang of Four","3085","0","","0","1","0","0","0","0","0","0","0","3","","I have the digital edition","","","","73957301","6.09716","6.6201","1.8696","2246","4228","thing","Gang of Four","3","4","40","40","40","1990","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloom","12692","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","73936342","6.16163","6.32926","1.6324","2007","29974","thing","Gloom","2","4","60","60","60","2005","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloom: Unhappy Homes","18207","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73936346","5.98237","6.64799","1.6939","0","5988","thing","Gloom: Unhappy Homes","2","5","30","30","30","2005","3,4,5","5","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"The Grimm Forest","212402","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","73956120","6.62507","7.10418","1.9421","917","10509","thing","The Grimm Forest","2","4","60","60","45","2018","3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Harry Potter: Hogwarts Battle","199042","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73937428","7.10242","7.40215","2.0831","332","32452","thing","Harry Potter: Hogwarts Battle","2","4","60","60","30","2016","2,3,4","2,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Harry Potter: Hogwarts Battle – The Monster Box of Monsters Expansion","223494","6","","0","1","0","0","0","0","0","0","0","3","","","","","","73937484","6.61631","7.59494","2.6304","0","11905","thing","Harry Potter: Hogwarts Battle – The Monster Box of Monsters Expansion","2","4","60","60","30","2017","2,3,4","2,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"The Hunger Games: Mockingjay – The Board Game","262290","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100182022","5.52113","7.09742","2.2","15255","120","thing","The Hunger Games: Mockingjay – The Board Game","2","4","120","120","60","2019","1,2,3,4","2,3,4","16+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"I'm the Boss!","115","9.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","73956317","6.33497","6.77188","1.9713","1471","4208","thing","I'm the Boss!","3","6","60","60","60","1994","4,5,6","5,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"I'm the Boss!: The Card Game","125605","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","100179384","5.53362","5.87322","1.75","13039","499","thing","I'm the Boss!: The Card Game","3","6","45","45","45","2012","4,5,6","5,6","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
